,name,country,region,state,varietal,price,description,merchant,address
0,Twisted Chardonnay,United States,,California,Chardonnay,$8.99,"Twisted is about having fun and enjoying the wines that you are drinking without worrying about the rules generally associated with wine. Do you like to have Chardonnay with your garlic chicken pizza? Go ahead! All of our wines are made to be enjoyed with a variety of foods, or by themselves. So sit back, relax, and put some Twisted on your tongue!A medium-bodied wine with aromas of refreshing ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
1,Long Barn Pinot Noir 2018,United States,,California,Pinot Noir,$12.99,"One of the holy grail's of wine is finding a killer Pinot Noir for under $10. Something that drinks like you paid twice the price, a bottle that you can brag to friends and family about. The Long Barn Pinot Noir from California’s famed wine growing region is a great example of a modern style Pinot Noir with old world influence. Sourced and crafted by the three Italians over at Napa Valley Ca’Momi,",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
2,Oyster Bay Sauvignon Blanc,New Zealand,,Marlborough,Sauvignon Blanc,$15.99,"The philosophy of Oyster Bay Marlborough is to produce fine, distinctively regional wines that are elegant and assertive with glorious fruit flavours - wines that drink well within a year or two of vintage, yet possess the balance of structure to reward cellaring.
The Oyster Bay label is owned by Delegat's Wine Estate, one of New Zealand's largest family owned and managed wine producers. ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
3,Kim Crawford Sauvignon Blanc,New Zealand,,Marlborough,Sauvignon Blanc,$17.99,"Kim Crawford Wines started out in a small Auckland cottage in New Zealand. Since its launch in 1996, the label has gained critical acclaim around the globe. Kim Crawford wines capture the true aromas and flavors of New Zealand in each bottle. The established leader of luxury-priced Sauvignon Blanc from New Zealand, Kim Crawford combines a passion for excellence in winemaking with a vision of ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
4,Josh Sauvignon Blanc,United States,,California,Sauvignon Blanc,$16.99,"
Joseph Carr was an award winning Sommelier and international wine industry executive who set out on his own in 2005 and founded Joseph Carr Winery in Carneros, California. It was, as Mr. Carr says, a chance to follow a dream. ""We're a family owned company dedicated to making world class, handcrafted wines. We work with small growers, coopers and winemakers producing elegant, sophisticated, ... click for more details
Sku: 69211  
",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
5,Cavit Pinot Grigio,Italy,,Veneto,Pinot Gris,$18.99,"Founded in 1957, Cavit has earned an international reputation as an innovative leader in Trentino winemaking. Today it is responsible for approximately 70% of this northern Italian province's entire wine production. 

The company is based on a partnership between 5,000 member growers, organized into 14 associated cellars located throughout Trentino in zones noted for the quality of ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
6,Josh Cabernet Sauvignon,United States,North Coast,California,Cabernet Sauvignon,$17.99,"Joseph Carr was an award winning Sommelier and international wine industry executive who set out on his own in 2005 and founded Joseph Carr Winery in Carneros, California. It was, as Mr. Carr says, a chance to follow a dream. ""We're a family owned company dedicated to making world class, handcrafted wines. We work with small growers, coopers and winemakers producing elegant, sophisticated, yet ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
7,Butter Chardonnay,United States,,California,Chardonnay,$17.99,"
Our three rich, bold and luscious offerings—Butter Chardonnay, JaM Cabernet Sauvignon and Toast Sparkling—more than live up to their names. Butter melts in your mouth, JaM slathers you with berry goodness, and Toast puts a celebration right in your glass! And the best news?


Second-generation Napa Valley vintners John and Michele are the ""J""and ""M"" in JaM Cellars. After almost a ... click for more details
Sku: 70412  
",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
8,Deloach Central Coast Pinot Noir,United States,Central Coast,California,Pinot Noir,$14.99,"A Wine & Spirits Winery of the Year, DeLoach is a pioneer in California Pinot Noir. Originally founded by Cecil DeLoach, a passionate San Francisco firefighter in 1973. Since then, the Boisset Family of Burgundy purchased the vineyards and have brought French winemaking flair to the famous Central Coast terroir. Much of the fruit for this Pinot Noir was processed using traditional Burgundian ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
9,Rutherford Hill Napa Valley Chardonnay 2016,United States,Napa County,California,Napa Valley,$18.99,"Are you a fan of rich, full-flavored Chardonnay like Cakebread & Rombauer, but don't want to pay $40 a bottle? Robert Parker says ""It’s hard to find value in Napa Valley, although great wines...they are plentiful."" That's why we are so excited about our #1 California Buyer's pick from Rutherford Hill. A full bodied Chardonnay that offers a delicious richness with a lengthy and bright finish, made ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
